"replicate","method","c1","c2","n_optima","empty_middle","BA_boot","BA_original","optimism"
111,"Distance",-1.4742268041,1.47895189,1,FALSE,0.712686108034945,0.675279931093885,0.0374061769410606
112,"Youden",-0.3316151203,3.0382302405,1,FALSE,0.702793158607112,0.639670235019072,0.0631229235880399
112,"Distance",-1.4742268041,3.0382302405,1,FALSE,0.697797465239326,0.634674541651286,0.0631229235880399
113,"Youden",-1.4742268041,1.47895189,1,FALSE,0.735941921988434,0.675279931093885,0.0606619908945489
113,"Distance",-1.6825601375,1.47895189,1,FALSE,0.729912636889381,0.675624461670973,0.0542881752184079
114,"Youden",-0.32946735395,1.219072165,1,FALSE,0.696862310815799,0.680644764365695,0.0162175464501045
114,"Distance",-1.63101374575,2.058848797,1,FALSE,0.661498708010336,0.67525532176695,-0.0137566137566137
115,"Youden",-1.63101374575,2.058848797,1,FALSE,0.777162544604405,0.67525532176695,0.101907222837455
115,"Distance",-1.63101374575,2.058848797,1,FALSE,0.777162544604405,0.67525532176695,0.101907222837455
116,"Youden",-1.27448453605,1.47895189,1,FALSE,0.769090685369755,0.659431524547804,0.109659160821951
116,"Distance",-1.27448453605,2.058848797,1,FALSE,0.760600467577212,0.65906238464378,0.101538082933432
117,"Youden",-0.6967353952,0.606958763,1,FALSE,0.744161437184693,0.697231450719823,0.0469299864648701
117,"Distance",-1.57731958765,1.47895189,1,FALSE,0.729641934293097,0.667872523686477,0.0617694106066199
118,"Youden",-0.6967353952,0.858247423,2,FALSE,0.73562200073828,0.696862310815799,0.0387596899224806
118,"Distance",-1.0554123711,1.219072165,1,FALSE,0.728534514581026,0.682022886674049,0.0465116279069768
119,"Youden",-0.3316151203,3.089776632,1,FALSE,0.686206472252984,0.639670235019072,0.0465362372339116
119,"Distance",-1.6825601375,3.089776632,1,FALSE,0.68052171773102,0.635019072228375,0.0455026455026455
120,"Youden",-0.69029209625,0.6112542955,2,FALSE,0.658102620893319,0.697231450719823,-0.0391288298265043
120,"Distance",-1.4656357388,2.211340206,1,FALSE,0.629457364341085,0.667158853205365,-0.0377014888642796
121,"Youden",-1.01030927835,0.858247423,1,FALSE,0.720487264673311,0.690143964562569,0.0303433001107419
121,"Distance",-1.63101374575,0.858247423,1,FALSE,0.700332225913621,0.691866617448013,0.0084656084656084
122,"Youden",-0.69029209625,0.858247423,2,FALSE,0.7437430786268,0.696862310815799,0.0468807678110004
122,"Distance",-1.63101374575,0.858247423,1,FALSE,0.708084163898117,0.691866617448013,0.0162175464501045
123,"Youden",-0.6387457045,2.5206185565,1,FALSE,0.782158237972192,0.672129937246216,0.110028300725975
123,"Distance",-1.4742268041,2.5206185565,1,FALSE,0.76906607604282,0.666789713301341,0.102276362741479
124,"Youden",-0.07817869415,1.219072165,2,FALSE,0.71942906361511,0.67254829580411,0.0468807678110004
124,"Distance",-1.4742268041,1.47895189,1,FALSE,0.714753291497478,0.675279931093885,0.0394733604035929
